Date,Close,% Change,% Change vs Average,Volume
2024-07-08T22:00:00.000Z,"57,742.50",-0.46,0.04,"26,175,260,526"
2024-07-09T22:00:00.000Z,"57,344.91",-0.69,-0.19,"28,707,803,842"
2024-07-10T22:00:00.000Z,"57,899.46",0.97,1.47,"25,604,805,221"
2024-07-11T22:00:00.000Z,"59,231.95",2.3,2.8,"17,080,061,806"
2024-07-12T22:00:00.000Z,"60,787.79",2.63,3.13,"22,223,416,061"
2024-07-13T22:00:00.000Z,"64,870.15",6.72,7.22,"38,094,526,099"
2024-07-14T22:00:00.000Z,"65,097.15",0.35,0.85,"41,617,346,768"
2024-07-15T22:00:00.000Z,"64,118.79",-1.5,-1,"32,525,071,311"
2024-07-16T22:00:00.000Z,"63,974.07",-0.23,0.27,"27,239,305,337"
2024-07-17T22:00:00.000Z,"66,710.16",4.28,4.78,"37,003,855,410"
2024-07-18T22:00:00.000Z,"67,163.65",0.68,1.18,"19,029,581,250"
2024-07-19T22:00:00.000Z,"68,154.52",1.48,1.98,"26,652,190,004"
2024-07-20T22:00:00.000Z,"67,585.25",-0.84,-0.34,"42,649,109,453"
2024-07-21T22:00:00.000Z,"65,927.67",-2.45,-1.95,"35,605,668,666"
2024-07-22T22:00:00.000Z,"65,372.13",-0.84,-0.34,"27,470,942,309"
2024-07-23T22:00:00.000Z,"65,777.23",0.62,1.12,"38,315,761,670"
2024-07-24T22:00:00.000Z,"67,912.06",3.25,3.75,"30,488,630,457"
2024-07-25T22:00:00.000Z,"67,813.34",-0.15,0.35,"34,691,905,492"
2024-07-26T22:00:00.000Z,"68,255.87",0.65,1.15,"18,043,166,945"
2024-07-27T22:00:00.000Z,"66,819.91",-2.1,-1.6,"40,780,682,628"
2024-07-28T22:00:00.000Z,"66,201.02",-0.93,-0.43,"31,380,492,109"
2024-07-29T22:00:00.000Z,"64,619.25",-2.39,-1.89,"31,292,785,994"
2024-07-30T22:00:00.000Z,"65,357.50",1.14,1.64,"40,975,554,494"
2024-07-31T22:00:00.000Z,"61,415.07",-6.03,-5.53,"43,060,875,727"
2024-08-01T22:00:00.000Z,"60,680.09",-1.2,-0.7,"31,753,030,589"
2024-08-02T22:00:00.000Z,"58,116.98",-4.22,-3.72,"31,758,917,219"
2024-08-03T22:00:00.000Z,"53,991.46",-7.1,-6.6,"108,991,085,584"
2024-08-04T22:00:00.000Z,"56,034.32",3.78,4.28,"49,300,484,106"
2024-08-05T22:00:00.000Z,"55,027.46",-1.8,-1.3,"41,637,562,185"
2024-08-06T22:00:00.000Z,"61,710.14",12.14,12.64,"45,298,472,567"
2024-08-07T22:00:00.000Z,"60,880.11",-1.35,-0.84,"33,425,553,115"
2024-08-08T22:00:00.000Z,"60,945.81",0.11,0.61,"15,745,822,278"
2024-08-09T22:00:00.000Z,"58,719.48",-3.65,-3.15,"22,759,754,812"
2024-08-10T22:00:00.000Z,"59,354.52",1.08,1.58,"37,078,637,820"
2024-08-11T22:00:00.000Z,"60,609.57",2.11,2.61,"30,327,698,167"
2024-08-12T22:00:00.000Z,"58,737.27",-3.09,-2.59,"29,961,696,180"
2024-08-13T22:00:00.000Z,"57,560.10",-2,-1.5,"35,682,112,440"
2024-08-14T22:00:00.000Z,"58,894.11",2.32,2.82,"29,350,938,673"
2024-08-15T22:00:00.000Z,"59,478.97",0.99,1.49,"13,589,684,021"
2024-08-16T22:00:00.000Z,"58,483.96",-1.67,-1.17,"17,740,625,837"
2024-08-17T22:00:00.000Z,"59,493.45",1.73,2.23,"25,911,207,712"
2024-08-18T22:00:00.000Z,"59,012.79",-0.81,-0.31,"31,613,400,008"
2024-08-19T22:00:00.000Z,"61,175.19",3.66,4.16,"32,731,154,072"
2024-08-20T22:00:00.000Z,"60,381.91",-1.3,-0.8,"27,625,734,377"
2024-08-21T22:00:00.000Z,"64,094.36",6.15,6.65,"42,530,509,233"
2024-08-22T22:00:00.000Z,"64,178.99",0.13,0.63,"21,430,585,163"
