"Date","Close","% Change","% Change vs Average","Volume"
"2025-02-18T05:30:00.000Z","95,592.45","-0.28","-0.26","1,838,995,456"
"2025-02-18T06:00:00.000Z","95,404.70","-0.20","-0.18","2,556,696,576"
"2025-02-18T06:30:00.000Z","95,306.87","-0.10","-0.08","1,175,717,888"
"2025-02-18T07:00:00.000Z","95,555.06","0.26","0.28","1,073,305,600"
"2025-02-18T07:30:00.000Z","95,475.22","-0.08","-0.07","1,580,140,544"
"2025-02-18T08:00:00.000Z","95,462.68","-0.01","0.01","109,914,112"
"2025-02-18T08:30:00.000Z","95,228.65","-0.25","-0.23","1,951,320,064"
"2025-02-18T09:00:00.000Z","95,634.02","0.43","0.44","1,298,905,088"
"2025-02-18T09:30:00.000Z","95,702.38","0.07","0.09","894,799,872"
"2025-02-18T10:00:00.000Z","95,692.07","-0.01","0.01","1,691,432,960"
"2025-02-18T10:30:00.000Z","95,733.40","0.04","0.06","953,776,128"
"2025-02-18T11:00:00.000Z","95,677.61","-0.06","-0.04","1,270,181,888"
"2025-02-18T11:30:00.000Z","95,607.73","-0.07","-0.05","826,408,960"
"2025-02-18T12:00:00.000Z","95,918.14","0.32","0.34","1,019,904,000"
"2025-02-18T12:30:00.000Z","96,193.44","0.29","0.31","1,073,448,960"
"2025-02-18T13:00:00.000Z","96,222.09","0.03","0.05","583,809,024"
"2025-02-18T13:30:00.000Z","96,216.23","-0.01","0.01","1,167,099,904"
"2025-02-18T14:00:00.000Z","96,505.37","0.30","0.32","982,398,976"
"2025-02-18T14:30:00.000Z","95,646.02","-0.89","-0.87","2,807,547,904"
"2025-02-18T15:00:00.000Z","95,396.43","-0.26","-0.24","2,004,824,064"
"2025-02-18T15:30:00.000Z","95,501.64","0.11","0.13","1,464,813,568"
"2025-02-18T16:00:00.000Z","95,300.52","-0.21","-0.19","827,611,136"
"2025-02-18T16:30:00.000Z","94,643.40","-0.69","-0.67","972,386,304"
"2025-02-18T17:00:00.000Z","94,573.05","-0.07","-0.06","1,883,457,536"
"2025-02-18T17:30:00.000Z","94,095.66","-0.50","-0.49","1,596,127,232"
"2025-02-18T18:00:00.000Z","94,009.21","-0.09","-0.07","2,120,556,544"
"2025-02-18T18:30:00.000Z","93,873.13","-0.14","-0.13","1,684,430,848"
"2025-02-18T19:00:00.000Z","93,738.33","-0.14","-0.13","2,470,455,296"
"2025-02-18T19:30:00.000Z","94,083.20","0.37","0.39","1,396,305,920"
"2025-02-18T20:00:00.000Z","94,099.13","0.02","0.04","1,879,255,040"
"2025-02-18T20:30:00.000Z","94,214.45","0.12","0.14","2,017,062,912"
"2025-02-18T21:00:00.000Z","95,108.84","0.95","0.97","2,501,560,320"
"2025-02-18T21:30:00.000Z","94,915.55","-0.20","-0.18","381,202,432"
"2025-02-18T22:00:00.000Z","95,287.99","0.39","0.41","1,205,329,920"
"2025-02-18T22:30:00.000Z","95,234.38","-0.06","-0.04","3,903,328,256"
"2025-02-18T23:00:00.000Z","95,502.80","0.28","0.30","1,334,632,448"
"2025-02-18T23:30:00.000Z","95,524.30","0.02","0.04","1,601,642,496"
"2025-02-19T00:00:00.000Z","95,418.14","-0.11","-0.09","2,037,387,264"
"2025-02-19T00:30:00.000Z","95,269.75","-0.16","-0.14","912,973,824"
"2025-02-19T01:00:00.000Z","95,094.71","-0.18","-0.17","1,129,365,504"
"2025-02-19T01:30:00.000Z","95,403.40","0.32","0.34","1,582,862,336"
"2025-02-19T02:00:00.000Z","95,512.51","0.11","0.13","1,149,542,400"
"2025-02-19T02:30:00.000Z","95,735.45","0.23","0.25","1,874,214,912"
"2025-02-19T03:00:00.000Z","95,702.45","-0.03","-0.02","2,156,183,552"
"2025-02-19T03:30:00.000Z","95,655.01","-0.05","-0.03","1,693,728,768"
"2025-02-19T04:00:00.000Z","95,493.09","-0.17","-0.15","1,706,156,032"
"2025-02-19T04:30:00.000Z","95,249.12","-0.26","-0.24","932,319,232"
"2025-02-19T05:00:00.000Z","95,064.32","-0.19","-0.18","1,530,302,464"
"2025-02-19T05:30:00.000Z","95,238.70","0.18","0.20","1,216,552,960"
"2025-02-19T06:00:00.000Z","95,322.71","0.09","0.11","943,980,544"
"2025-02-19T06:30:00.000Z","95,576.34","0.27","0.28","1,037,021,184"
"2025-02-19T07:00:00.000Z","95,584.63","0.01","0.03","856,457,216"
"2025-02-19T07:30:00.000Z","95,731.96","0.15","0.17","2,372,599,808"
"2025-02-19T08:00:00.000Z","95,802.84","0.07","0.09","215,678,976"
"2025-02-19T08:30:00.000Z","95,621.49","-0.19","-0.17","899,948,544"
"2025-02-19T09:00:00.000Z","95,762.38","0.15","0.17","898,895,872"
"2025-02-19T09:30:00.000Z","95,947.80","0.19","0.21","1,621,422,080"
"2025-02-19T10:00:00.000Z","96,308.28","0.38","0.39","1,373,118,464"
"2025-02-19T10:30:00.000Z","96,304.67","0","0.01","1,791,774,720"
"2025-02-19T11:00:00.000Z","96,240.63","-0.07","-0.05","1,096,323,072"
"2025-02-19T11:30:00.000Z","96,359.79","0.12","0.14","445,956,096"
"2025-02-19T12:00:00.000Z","96,423.01","0.07","0.08","984,416,256"
"2025-02-19T12:30:00.000Z","96,187.52","-0.24","-0.23","1,535,541,248"
"2025-02-19T13:00:00.000Z","96,217.75","0.03","0.05","912,433,152"
"2025-02-19T13:30:00.000Z","96,303.85","0.09","0.11","991,698,944"
"2025-02-19T14:00:00.000Z","96,376.96","0.08","0.09","669,143,040"
"2025-02-19T14:30:00.000Z","95,855.47","-0.54","-0.52","1,987,092,480"
"2025-02-19T15:00:00.000Z","95,985.27","0.14","0.15","1,479,995,392"
"2025-02-19T15:30:00.000Z","95,955.59","-0.03","-0.01","1,326,391,296"
"2025-02-19T16:00:00.000Z","96,314.41","0.37","0.39","963,489,792"
"2025-02-19T16:30:00.000Z","96,245.84","-0.07","-0.05","2,006,695,936"
"2025-02-19T17:00:00.000Z","96,218.07","-0.03","-0.01","1,686,425,600"
"2025-02-19T17:30:00.000Z","96,432.16","0.22","0.24","2,492,194,816"
"2025-02-19T18:00:00.000Z","96,035.79","-0.41","-0.39","900,364,288"
"2025-02-19T18:30:00.000Z","95,661.72","-0.39","-0.37","42,338,304"
"2025-02-19T19:00:00.000Z","96,037.09","0.39","0.41","1,535,639,552"
"2025-02-19T19:30:00.000Z","96,116.90","0.08","0.10","1,674,897,408"
"2025-02-19T20:00:00.000Z","96,269.54","0.16","0.18","1,472,952,320"
"2025-02-19T20:30:00.000Z","96,208.54","-0.06","-0.05","828,319,744"
"2025-02-19T21:00:00.000Z","96,402.82","0.20","0.22","1,104,908,288"
"2025-02-19T21:30:00.000Z","96,292.77","-0.11","-0.10","826,478,592"
"2025-02-19T22:00:00.000Z","96,466.25","0.18","0.20","2,025,486,336"
"2025-02-19T22:30:00.000Z","96,537.16","0.07","0.09","1,383,579,648"
"2025-02-19T23:00:00.000Z","96,667.07","0.13","0.15","1,476,632,576"
"2025-02-19T23:30:00.000Z","96,636.10","-0.03","-0.01","810,500,096"
"2025-02-20T00:00:00.000Z","96,526.75","-0.11","-0.09","49,416,192"
"2025-02-20T00:30:00.000Z","96,837.08","0.32","0.34","95,696,896"
"2025-02-20T01:00:00.000Z","96,703.69","-0.14","-0.12","728,707,072"
