"Date","Price","Open","High","Low","Vol.","Change %"
"04/18/2021","50,167.0","59,970.0","60,223.0","48,719.6","95.86K","-16.35%"
"04/11/2021","59,970.0","59,823.8","64,374.0","59,411.0","61.86K","0.24%"
"04/04/2021","59,823.8","57,023.0","60,984.0","55,976.0","36.76K","4.91%"
"03/28/2021","57,023.0","55,886.0","59,834.0","54,984.0","46.86K","2.03%"
"03/21/2021","55,886.0","58,087.0","58,499.5","50,874.0","65.09K","-3.79%"
"03/14/2021","58,087.0","61,207.0","61,468.0","54,049.0","62.69K","-5.10%"
"03/07/2021","61,207.0","48,895.0","61,207.0","48,895.0","57.87K","25.18%"
"02/28/2021","48,895.0","46,217.0","52,018.0","43,380.0","66.35K","5.79%"
"02/21/2021","46,217.0","55,838.0","58,238.0","45,320.0","130.47K","-17.23%"
"02/14/2021","55,838.0","47,177.0","57,352.0","46,563.0","69.08K","18.36%"
"02/07/2021","47,177.0","39,257.0","48,540.0","38,061.0","89.16K","20.17%"
"01/31/2021","39,257.0","34,334.0","40,780.0","32,270.0","43.45K","14.34%"
"01/24/2021","34,334.0","32,099.0","38,056.0","29,815.0","104.31K","6.96%"
"01/17/2021","32,099.0","36,061.0","37,673.0","28,991.0","92.10K","-10.97%"
"01/10/2021","36,055.0","40,171.0","41,209.3","31,842.0","148.28K","-10.25%"
"01/03/2021","40,171.0","32,183.0","41,616.0","29,178.0","141.29K","24.81%"
"12/27/2020","32,185.0","26,410.0","33,168.0","25,923.0","73.02K","21.86%"
"12/20/2020","26,412.0","23,804.0","26,577.0","22,483.0","76.55K","10.96%"
"12/13/2020","23,804.0","18,818.0","24,058.0","18,747.0","72.01K","26.55%"
"12/06/2020","18,810.6","19,157.0","19,377.0","17,764.0","42.35K","-1.81%"
"11/29/2020","19,157.0","17,746.0","19,733.0","17,579.2","72.09K","7.95%"
"11/22/2020","17,746.0","18,660.0","19,349.0","16,592.0","102.55K","-4.90%"
"11/15/2020","18,660.0","16,057.0","18,944.5","15,871.0","60.78K","16.20%"
"11/08/2020","16,058.3","14,844.1","16,405.0","14,844.1","51.81K","8.18%"
"11/01/2020","14,844.1","13,788.0","15,876.0","13,401.0","63.64K","7.66%"
"10/25/2020","13,788.0","13,127.0","13,958.0","12,863.0","36.27K","5.00%"
"10/18/2020","13,132.0","11,375.0","13,166.0","11,366.0","37.60K","15.45%"
"10/11/2020","11,375.0","11,308.0","11,698.9","11,268.2","25.62K","0.59%"
"10/04/2020","11,308.0","10,558.6","11,450.0","10,557.6","17.05K","7.10%"
"09/27/2020","10,558.6","10,750.0","10,941.0","10,476.0","21.91K","-1.78%"
"09/20/2020","10,750.0","11,099.0","11,099.0","10,255.0","21.22K","-3.14%"
"09/13/2020","11,099.0","10,458.0","11,127.0","10,244.0","24.51K","6.13%"
"09/06/2020","10,458.0","10,196.9","10,463.5","9,964.1","26.77K","2.56%"
"08/30/2020","10,197.0","11,492.0","12,037.0","10,011.0","57.29K","-11.27%"
"08/23/2020","11,492.0","11,685.0","11,817.9","11,200.0","21.36K","-1.65%"
"08/16/2020","11,685.0","11,873.4","12,415.0","11,449.0","41.94K","-1.59%"
"08/09/2020","11,873.4","11,764.0","12,024.0","11,257.0","36.61K","0.93%"
"08/02/2020","11,764.0","11,804.7","11,917.0","11,032.0","40.40K","-0.35%"
"07/26/2020","11,804.7","9,714.9","11,804.7","9,685.8","65.25K","21.51%"
"07/19/2020","9,714.9","9,189.1","9,730.5","9,130.5","21.54K","5.72%"
"07/12/2020","9,189.1","9,246.3","9,344.8","9,092.1","11.98K","-0.62%"
"07/05/2020","9,246.3","9,147.7","9,480.7","9,004.9","18.40K","1.08%"
"06/28/2020","9,147.7","9,015.3","9,298.0","8,949.4","15.71K","1.47%"
"06/21/2020","9,015.3","9,371.3","9,794.2","8,857.3","29.00K","-3.80%"
"06/14/2020","9,371.3","9,480.9","9,589.9","8,914.9","26.25K","-1.15%"
"06/07/2020","9,480.8","9,668.4","10,004.0","9,088.6","40.26K","-1.94%"
"05/31/2020","9,668.4","9,706.4","10,390.0","9,197.4","53.24K","-0.39%"
"05/24/2020","9,706.4","9,174.6","9,742.0","8,628.6","36.84K","5.80%"
"05/17/2020","9,174.6","9,388.0","9,941.1","8,821.4","52.99K","-2.27%"
"05/10/2020","9,388.0","9,537.7","9,937.8","8,107.4","98.21K","-1.57%"
"05/03/2020","9,537.9","8,982.3","10,045.0","8,535.0","78.91K","6.19%"
"04/26/2020","8,982.3","7,538.5","9,438.8","7,487.0","93.53K","19.15%"
"04/19/2020","7,538.5","7,268.8","7,744.9","6,767.1","60.13K","3.71%"
"04/12/2020","7,269.1","6,884.5","7,300.1","6,500.4","58.72K","5.59%"
"04/05/2020","6,884.5","6,880.6","7,452.0","6,693.4","79.89K","0.04%"
"03/29/2020","6,881.6","6,252.3","7,263.3","5,880.9","80.52K","10.12%"
"03/22/2020","6,249.3","6,202.7","6,968.0","5,682.7","95.87K","0.77%"
"03/15/2020","6,201.8","5,217.1","6,897.0","4,468.0","198.24K","18.85%"
"03/08/2020","5,218.2","8,917.2","8,917.2","4,001.0","370.73K","-41.49%"
"03/01/2020","8,919.0","8,561.5","9,231.1","8,460.0","31.93K","4.23%"
"02/23/2020","8,557.3","9,663.0","10,022.0","8,455.2","59.56K","-11.44%"
"02/16/2020","9,662.4","9,901.0","10,309.0","9,350.3","67.21K","-2.41%"
"02/09/2020","9,901.0","9,877.3","10,489.0","9,720.0","52.55K","0.24%"
"02/02/2020","9,877.2","9,408.0","9,920.7","9,112.5","43.64K","4.96%"
"01/26/2020","9,410.6","8,351.1","9,550.0","8,303.6","42.11K","12.65%"
"01/19/2020","8,353.7","8,891.6","9,169.5","8,247.7","35.28K","-6.05%"
"01/12/2020","8,891.5","8,013.6","8,994.9","7,951.7","55.74K","10.95%"
"01/05/2020","8,013.8","7,370.3","8,442.0","7,315.8","57.93K","8.74%"
"12/29/2019","7,369.8","7,333.2","7,551.6","6,909.3","29.28K","0.48%"
"12/22/2019","7,334.4","7,166.3","7,715.0","7,114.1","31.31K","2.34%"
"12/15/2019","7,166.4","7,100.8","7,480.2","6,479.4","59.85K","0.92%"
"12/08/2019","7,100.8","7,543.2","7,701.1","7,038.5","28.72K","-5.86%"
"12/01/2019","7,543.2","7,599.9","7,887.7","7,134.1","41.19K","-0.75%"
"11/24/2019","7,599.9","7,352.7","7,916.3","6,619.4","64.94K","3.36%"
"11/17/2019","7,352.6","8,523.4","8,662.9","6,820.1","63.89K","-13.74%"
"11/10/2019","8,523.5","8,827.1","9,156.9","8,420.2","26.69K","-3.45%"
"11/03/2019","8,828.0","9,332.2","9,621.8","8,688.1","37.66K","-5.40%"
"10/27/2019","9,332.1","9,270.9","9,948.0","8,984.8","45.88K","0.66%"
"10/20/2019","9,270.9","7,993.0","10,464.1","7,341.5","77.95K","15.99%"
"10/13/2019","7,992.9","8,319.6","8,477.4","7,860.0","30.36K","-3.91%"
"10/06/2019","8,318.3","8,162.5","8,815.2","7,794.9","42.38K","1.91%"
"09/29/2019","8,162.5","8,238.2","8,539.0","7,753.0","35.96K","-0.92%"
"09/22/2019","8,238.6","10,012.0","10,105.0","7,800.1","85.94K","-17.72%"
"09/15/2019","10,013.0","10,381.0","10,417.0","9,655.0","28.32K","-3.53%"
"09/08/2019","10,379.0","10,489.0","10,599.0","9,866.5","30.68K","-1.04%"
"09/01/2019","10,488.0","9,623.9","10,933.0","9,560.1","56.65K","8.98%"
"08/25/2019","9,623.9","10,162.0","10,654.0","9,360.4","43.28K","-5.20%"
"08/18/2019","10,152.0","10,230.0","10,986.0","9,790.0","48.04K","-0.74%"
"08/11/2019","10,228.0","11,308.0","11,579.0","9,522.5","74.58K","-9.60%"
"08/04/2019","11,314.0","10,822.0","12,307.0","10,595.0","84.56K","4.55%"
"07/28/2019","10,822.0","9,463.1","10,910.0","9,112.3","51.75K","14.33%"
"07/21/2019","9,465.7","10,741.0","10,811.0","9,300.3","60.17K","-11.86%"
"07/14/2019","10,740.0","11,324.0","11,390.0","9,111.0","148.04K","-5.06%"
"07/07/2019","11,312.0","11,276.0","13,173.0","10,806.0","126.70K","0.26%"
