"Date","Price","Open","High","Low","Vol.","Change %"
"05/06/2012","0.33","0.31","0.34","0.30","3.62B","6.45%"
"04/29/2012","0.31","0.32","0.33","0.31","2.32B","-3.12%"
"04/22/2012","0.32","0.33","0.33","0.32","3.18B","-3.03%"
"04/15/2012","0.33","0.36","0.36","0.33","2.50B","-5.71%"
"04/08/2012","0.35","0.36","0.37","0.35","1.91B","-5.41%"
"04/01/2012","0.37","0.38","0.39","0.36","1.70B","-2.63%"
"03/25/2012","0.38","0.37","0.39","0.36","2.50B","5.56%"
"03/18/2012","0.36","0.37","0.37","0.36","2.06B","0.00%"
"03/11/2012","0.36","0.37","0.37","0.36","2.40B","-2.70%"
"03/04/2012","0.37","0.38","0.38","0.36","2.23B","-2.63%"
"02/26/2012","0.38","0.39","0.39","0.38","3.27B","-2.56%"
"02/19/2012","0.39","0.40","0.41","0.39","1.70B","-2.50%"
"02/12/2012","0.40","0.41","0.42","0.38","5.09B","0.00%"
"02/05/2012","0.40","0.39","0.42","0.39","2.54B","0.00%"
"01/29/2012","0.40","0.37","0.40","0.36","2.38B","8.11%"
"01/22/2012","0.37","0.36","0.38","0.35","3.82B","2.78%"
"01/15/2012","0.36","0.35","0.36","0.34","2.41B","5.88%"
"01/08/2012","0.34","0.36","0.37","0.34","2.70B","-5.56%"
"01/01/2012","0.36","0.36","0.37","0.35","1.91B","2.86%"
"12/25/2011","0.35","0.35","0.36","0.34","827.80M","0.00%"
"12/18/2011","0.35","0.34","0.36","0.33","2.28B","2.94%"
"12/11/2011","0.34","0.36","0.37","0.34","2.78B","-8.11%"
"12/04/2011","0.37","0.40","0.40","0.36","2.78B","-5.13%"
"11/27/2011","0.39","0.36","0.40","0.36","3.12B","11.43%"
"11/20/2011","0.35","0.34","0.38","0.34","3.85B","0.00%"
"11/13/2011","0.35","0.37","0.38","0.34","2.68B","-5.41%"
"11/06/2011","0.37","0.37","0.38","0.35","4.44B","0.00%"
"10/30/2011","0.37","0.38","0.38","0.34","3.68B","-5.13%"
"10/23/2011","0.39","0.36","0.39","0.35","2.68B","8.33%"
"10/16/2011","0.36","0.39","0.39","0.35","3.38B","-7.69%"
"10/09/2011","0.39","0.36","0.40","0.36","3.52B","11.43%"
"10/02/2011","0.35","0.31","0.36","0.29","4.75B","12.90%"
"09/25/2011","0.31","0.35","0.36","0.31","4.54B","-8.82%"
"09/18/2011","0.34","0.38","0.38","0.33","4.80B","-12.82%"
"09/11/2011","0.39","0.34","0.40","0.34","5.46B","11.43%"
"09/04/2011","0.35","0.31","0.37","0.31","4.05B","9.38%"
