"Date","Close","% Change","% Change vs Average","Volume"
"2025-03-13T11:50:00.000Z","40.19","-0.04","1.01","6,365"
"2025-03-13T11:51:00.000Z","40.20","0.02","1.07","3,660"
"2025-03-13T11:52:00.000Z","40.24","0.09","1.13","3,679"
"2025-03-13T11:53:00.000Z","40.19","-0.12","0.92","4,748"
"2025-03-13T11:54:00.000Z","40.26","0.19","1.23","3,716"
"2025-03-13T11:55:00.000Z","40.22","-0.11","0.93","6,592"
"2025-03-13T11:56:00.000Z","40.20","-0.04","1.01","1,622"
"2025-03-13T11:57:00.000Z","40.24","0.10","1.15","2,487"
"2025-03-13T11:58:00.000Z","40.12","-0.30","0.75","16,945"
"2025-03-13T11:59:00.000Z","40.15","0.06","1.11","22,672"
"2025-03-13T12:00:00.000Z","40.17","0.06","1.11","4,559"
"2025-03-13T12:01:00.000Z","40.22","0.12","1.17","5,965"
"2025-03-13T12:02:00.000Z","40.24","0.05","1.10","1,972"
"2025-03-13T12:03:00.000Z","40.17","-0.17","0.87","13,695"
"2025-03-13T12:04:00.000Z","40.18","0.02","1.07","3,217"
"2025-03-13T12:05:00.000Z","40.18","0","1.05","1,176"
"2025-03-13T12:06:00.000Z","40.21","0.07","1.12","2,645"
"2025-03-13T12:07:00.000Z","40.14","-0.17","0.87","2,537"
"2025-03-13T12:08:00.000Z","40.13","-0.01","1.03","3,353"
"2025-03-13T12:09:00.000Z","40.13","-0.01","1.03","4,214"
"2025-03-13T12:10:00.000Z","40.13","-0.01","1.03","4,254"
"2025-03-13T12:11:00.000Z","40.10","-0.06","0.98","4,923"
"2025-03-13T12:12:00.000Z","40.17","0.17","1.22","4,232"
"2025-03-13T12:13:00.000Z","40.15","-0.06","0.98","2,352"
"2025-03-13T12:14:00.000Z","40.10","-0.10","0.95","2,068"
"2025-03-13T12:15:00.000Z","40.17","0.17","1.22","3,185"
"2025-03-13T12:16:00.000Z","40.13","-0.11","0.93","1,563"
"2025-03-13T12:17:00.000Z","40.13","0.01","1.06","749"
"2025-03-13T12:18:00.000Z","40.21","0.19","1.23","16,029"
"2025-03-13T12:19:00.000Z","40.13","-0.20","0.85","7,496"
"2025-03-13T12:20:00.000Z","40.14","0.02","1.07","10,795"
"2025-03-13T12:21:00.000Z","40.13","-0.01","1.03","1,429"
"2025-03-13T12:22:00.000Z","40.15","0.02","1.07","1,567"
"2025-03-13T12:23:00.000Z","40.16","0.04","1.08","1,008"
"2025-03-13T12:24:00.000Z","40.16","0","1.05","258"
"2025-03-13T12:25:00.000Z","40.15","-0.02","1.02","1,403"
"2025-03-13T12:26:00.000Z","40.17","0.04","1.08","3,374"
"2025-03-13T12:27:00.000Z","40.21","0.10","1.15","1,494"
"2025-03-13T12:28:00.000Z","40.19","-0.02","1.02","345"
"2025-03-13T12:29:00.000Z","40.17","-0.06","0.98","753"
"2025-03-13T12:30:00.000Z","40.18","0.02","1.07","5,350"
"2025-03-13T12:31:00.000Z","40.15","-0.09","0.96","1,379"
"2025-03-13T12:32:00.000Z","40.12","-0.06","0.98","1,278"
"2025-03-13T12:33:00.000Z","40.17","0.11","1.16","1,427"
"2025-03-13T12:34:00.000Z","40.13","-0.07","0.97","1,293"
"2025-03-13T12:35:00.000Z","40.14","0.01","1.06","2,041"
"2025-03-13T12:36:00.000Z","40.13","-0.02","1.02","1,555"
"2025-03-13T12:37:00.000Z","40.13","0","1.05","169"
"2025-03-13T12:38:00.000Z","40.12","-0.02","1.02","1,003"
"2025-03-13T12:39:00.000Z","40.13","0.02","1.07","2,604"
"2025-03-13T12:40:00.000Z","40.18","0.12","1.17","969"
"2025-03-13T12:41:00.000Z","40.16","-0.05","1.00","671"
"2025-03-13T12:42:00.000Z","40.17","0.02","1.07","233"
"2025-03-13T12:43:00.000Z","40.16","-0.02","1.02","229"
"2025-03-13T12:44:00.000Z","40.17","0.02","1.07","772"
"2025-03-13T12:45:00.000Z","40.10","-0.16","0.88","2,571"
"2025-03-13T12:46:00.000Z","40.11","0.01","1.06","1,424"
"2025-03-13T12:47:00.000Z","40.14","0.07","1.12","3,367"
"2025-03-13T12:48:00.000Z","40.15","0.01","1.06","822"
"2025-03-13T12:49:00.000Z","40.15","0.02","1.07","1,165"
"2025-03-13T12:50:00.000Z","40.14","-0.04","1.01","2,084"
"2025-03-13T12:51:00.000Z","40.17","0.09","1.13","2,466"
"2025-03-13T12:52:00.000Z","40.17","0","1.05","915"
"2025-03-13T12:53:00.000Z","40.17","0","1.05","2,201"
